Raw Data 		Experiment - Edward qPCR Txn Inhibitors HS 2018-06-15 plate 1 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	230650	59.92	0.26
A1	Sample 1	2	2	2	269250	59.82	0.52
A1	Sample 1	2	2	3	307967	59.82	0.78
A1	Sample 1	2	2	4	346767	59.84	0.39
A1	Sample 1	2	2	5	385384	59.83	0.52
A1	Sample 1	2	2	6	424200	59.81	0.39
A1	Sample 1	2	2	7	462967	59.83	0.91
A1	Sample 1	2	2	8	501817	59.82	0.26
A1	Sample 1	2	2	9	540567	59.82	0.52
A1	Sample 1	2	2	10	579350	59.82	0.65
A1	Sample 1	2	2	11	617984	59.82	0.26
A1	Sample 1	2	2	12	656767	59.82	0.78
A1	Sample 1	2	2	13	695500	59.82	0.78
A1	Sample 1	2	2	14	734250	59.82	0.91
A1	Sample 1	2	2	15	772851	59.82	1.56
A1	Sample 1	2	2	16	811600	59.81	2.09
A1	Sample 1	2	2	17	850267	59.84	3.25
A1	Sample 1	2	2	18	889067	59.83	3.38
A1	Sample 1	2	2	19	927851	59.83	4.15
A1	Sample 1	2	2	20	966550	59.83	4.94
A1	Sample 1	2	2	21	1005384	59.84	5.60
A1	Sample 1	2	2	22	1044167	59.81	6.37
A1	Sample 1	2	2	23	1082884	59.81	6.35
A1	Sample 1	2	2	24	1121534	59.81	7.02
A1	Sample 1	2	2	25	1160167	59.81	6.78
A1	Sample 1	2	2	26	1198950	59.81	7.83
A1	Sample 1	2	2	27	1237650	59.83	7.83
A1	Sample 1	2	2	28	1276317	59.83	8.20
A1	Sample 1	2	2	29	1315067	59.82	8.59
A1	Sample 1	2	2	30	1353867	59.82	8.20
A1	Sample 1	2	2	31	1392617	59.83	8.58
A1	Sample 1	2	2	32	1431367	59.83	9.09
A1	Sample 1	2	2	33	1470134	59.84	8.70
A1	Sample 1	2	2	34	1508851	59.84	9.08
A1	Sample 1	2	2	35	1547650	59.84	8.72
A1	Sample 1	2	2	36	1586350	59.83	9.08
A1	Sample 1	2	2	37	1625034	59.82	9.21
A1	Sample 1	2	2	38	1663734	59.82	9.79
A1	Sample 1	2	2	39	1702417	59.82	9.10
A1	Sample 1	2	2	40	1741150	59.81	9.48
A1	Sample 1	3	1	1	1748667	59.91	8.51
A1	Sample 1	3	1	1	1749200	59.88	8.52
A1	Sample 1	3	1	1	1749767	59.71	8.49
A1	Sample 1	3	1	1	1750334	59.71	8.56
A1	Sample 1	3	1	1	1750900	59.87	8.55
A1	Sample 1	3	1	1	1751467	60.17	8.56
A1	Sample 1	3	1	1	1752050	60.52	8.55
A1	Sample 1	3	1	1	1752617	60.82	8.45
A1	Sample 1	3	1	1	1753150	61.1	8.42
A1	Sample 1	3	1	1	1753734	61.35	8.41
A1	Sample 1	3	1	1	1754317	61.54	8.38
A1	Sample 1	3	1	1	1754867	61.77	8.36
A1	Sample 1	3	1	1	1755450	61.99	8.28
A1	Sample 1	3	1	1	1756017	62.15	8.28
A1	Sample 1	3	1	1	1756617	62.38	8.17
A1	Sample 1	3	1	1	1757184	62.63	8.16
A1	Sample 1	3	1	1	1757717	62.81	8.11
A1	Sample 1	3	1	1	1758317	63.03	8.09
A1	Sample 1	3	1	1	1758884	63.23	8.05
A1	Sample 1	3	1	1	1759434	63.47	8.02
A1	Sample 1	3	1	1	1760034	63.66	8.00
A1	Sample 1	3	1	1	1760600	63.86	7.91
A1	Sample 1	3	1	1	1761134	64.05	7.89
A1	Sample 1	3	1	1	1761700	64.21	7.84
A1	Sample 1	3	1	1	1762284	64.46	7.84
A1	Sample 1	3	1	1	1762817	64.64	7.79
A1	Sample 1	3	1	1	1763384	64.84	7.73
A1	Sample 1	3	1	1	1763950	65.02	7.72
A1	Sample 1	3	1	1	1764517	65.2	7.66
A1	Sample 1	3	1	1	1765100	65.41	7.65
A1	Sample 1	3	1	1	1765667	65.65	7.63
A1	Sample 1	3	1	1	1766250	65.83	7.59
A1	Sample 1	3	1	1	1766834	66.03	7.56
A1	Sample 1	3	1	1	1767417	66.21	7.55
A1	Sample 1	3	1	1	1767967	66.44	7.52
A1	Sample 1	3	1	1	1768534	66.62	7.49
A1	Sample 1	3	1	1	1769067	66.76	7.47
A1	Sample 1	3	1	1	1769650	67	7.43
A1	Sample 1	3	1	1	1770234	67.17	7.41
A1	Sample 1	3	1	1	1770784	67.38	7.41
A1	Sample 1	3	1	1	1771384	67.58	7.39
A1	Sample 1	3	1	1	1771917	67.76	7.33
A1	Sample 1	3	1	1	1772467	67.97	7.38
A1	Sample 1	3	1	1	1773050	68.18	7.37
A1	Sample 1	3	1	1	1773617	68.35	7.38
A1	Sample 1	3	1	1	1774184	68.53	7.33
A1	Sample 1	3	1	1	1774734	68.72	7.33
A1	Sample 1	3	1	1	1775284	68.93	7.33
A1	Sample 1	3	1	1	1775884	69.14	7.33
A1	Sample 1	3	1	1	1776467	69.34	7.35
A1	Sample 1	3	1	1	1777034	69.48	7.32
A1	Sample 1	3	1	1	1777584	69.71	7.31
A1	Sample 1	3	1	1	1778167	69.92	7.34
A1	Sample 1	3	1	1	1778717	70.1	7.32
A1	Sample 1	3	1	1	1779267	70.29	7.29
A1	Sample 1	3	1	1	1779800	70.45	7.31
A1	Sample 1	3	1	1	1780384	70.68	7.30
A1	Sample 1	3	1	1	1780934	70.87	7.33
A1	Sample 1	3	1	1	1781517	71.05	7.27
A1	Sample 1	3	1	1	1782067	71.22	7.19
A1	Sample 1	3	1	1	1782650	71.45	7.20
A1	Sample 1	3	1	1	1783217	71.62	7.12
A1	Sample 1	3	1	1	1783784	71.86	7.10
A1	Sample 1	3	1	1	1784367	72.05	7.06
A1	Sample 1	3	1	1	1784934	72.24	7.05
A1	Sample 1	3	1	1	1785500	72.41	6.99
A1	Sample 1	3	1	1	1786050	72.61	6.93
A1	Sample 1	3	1	1	1786634	72.78	6.87
A1	Sample 1	3	1	1	1787200	73.01	6.87
A1	Sample 1	3	1	1	1787750	73.18	6.82
A1	Sample 1	3	1	1	1788317	73.36	6.71
A1	Sample 1	3	1	1	1788900	73.58	6.67
A1	Sample 1	3	1	1	1789467	73.79	6.62
A1	Sample 1	3	1	1	1790000	73.96	6.56
A1	Sample 1	3	1	1	1790584	74.16	6.52
A1	Sample 1	3	1	1	1791150	74.36	6.48
A1	Sample 1	3	1	1	1791717	74.54	6.40
A1	Sample 1	3	1	1	1792317	74.73	6.33
A1	Sample 1	3	1	1	1792867	74.93	6.24
A1	Sample 1	3	1	1	1793434	75.14	6.22
A1	Sample 1	3	1	1	1794034	75.33	6.15
A1	Sample 1	3	1	1	1794584	75.54	6.05
A1	Sample 1	3	1	1	1795184	75.71	6.00
A1	Sample 1	3	1	1	1795750	75.94	5.93
A1	Sample 1	3	1	1	1796317	76.11	5.88
A1	Sample 1	3	1	1	1796884	76.32	5.84
A1	Sample 1	3	1	1	1797467	76.51	5.73
A1	Sample 1	3	1	1	1798034	76.72	5.73
A1	Sample 1	3	1	1	1798617	76.89	5.62
A1	Sample 1	3	1	1	1799184	77.12	5.57
A1	Sample 1	3	1	1	1799767	77.32	5.55
A1	Sample 1	3	1	1	1800334	77.5	5.44
A1	Sample 1	3	1	1	1800867	77.66	5.37
A1	Sample 1	3	1	1	1801467	77.89	5.30
A1	Sample 1	3	1	1	1802034	78.07	5.27
A1	Sample 1	3	1	1	1802567	78.27	5.17
A1	Sample 1	3	1	1	1803150	78.45	5.10
A1	Sample 1	3	1	1	1803684	78.64	5.02
A1	Sample 1	3	1	1	1804250	78.85	4.96
A1	Sample 1	3	1	1	1804817	79.02	4.88
A1	Sample 1	3	1	1	1805384	79.22	4.82
A1	Sample 1	3	1	1	1805950	79.4	4.76
A1	Sample 1	3	1	1	1806534	79.63	4.66
A1	Sample 1	3	1	1	1807117	79.8	4.56
A1	Sample 1	3	1	1	1807650	80.04	4.48
A1	Sample 1	3	1	1	1808217	80.15	4.34
A1	Sample 1	3	1	1	1808784	80.38	4.18
A1	Sample 1	3	1	1	1809317	80.55	3.94
A1	Sample 1	3	1	1	1809900	80.79	3.65
A1	Sample 1	3	1	1	1810450	80.96	3.15
A1	Sample 1	3	1	1	1811000	81.11	2.59
A1	Sample 1	3	1	1	1811584	81.33	1.84
A1	Sample 1	3	1	1	1812167	81.58	1.16
A1	Sample 1	3	1	1	1812734	81.78	0.71
