Raw Data 		Experiment - Edward qPCR Nrd1 calibration 2019-02-02 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	234700	59.9	0.59
A1	Sample 1	2	2	2	274117	59.82	0.57
A1	Sample 1	2	2	3	313634	59.84	0.56
A1	Sample 1	2	2	4	353100	59.82	0.56
A1	Sample 1	2	2	5	392600	59.84	0.56
A1	Sample 1	2	2	6	432234	59.83	0.56
A1	Sample 1	2	2	7	471801	59.85	0.55
A1	Sample 1	2	2	8	511334	59.81	0.55
A1	Sample 1	2	2	9	550834	59.8	0.55
A1	Sample 1	2	2	10	590417	59.83	0.54
A1	Sample 1	2	2	11	630000	59.82	0.55
A1	Sample 1	2	2	12	669600	59.82	0.54
A1	Sample 1	2	2	13	709217	59.85	0.55
A1	Sample 1	2	2	14	748801	59.84	0.54
A1	Sample 1	2	2	15	788400	59.85	0.54
A1	Sample 1	2	2	16	827984	59.85	0.54
A1	Sample 1	2	2	17	867500	59.83	0.54
A1	Sample 1	2	2	18	907084	59.84	0.54
A1	Sample 1	2	2	19	946600	59.84	0.55
A1	Sample 1	2	2	20	986200	59.84	0.55
A1	Sample 1	2	2	21	1025784	59.83	0.56
A1	Sample 1	2	2	22	1065417	59.84	0.61
A1	Sample 1	2	2	23	1105017	59.84	0.67
A1	Sample 1	2	2	24	1144600	59.84	0.80
A1	Sample 1	2	2	25	1184200	59.81	1.04
A1	Sample 1	2	2	26	1223801	59.81	1.40
A1	Sample 1	2	2	27	1263384	59.84	1.79
A1	Sample 1	2	2	28	1303017	59.84	2.19
A1	Sample 1	2	2	29	1342584	59.85	2.60
A1	Sample 1	2	2	30	1382167	59.84	2.97
A1	Sample 1	2	2	31	1421650	59.83	3.30
A1	Sample 1	2	2	32	1461234	59.84	3.60
A1	Sample 1	2	2	33	1500784	59.84	3.87
A1	Sample 1	2	2	34	1540367	59.85	4.10
A1	Sample 1	2	2	35	1579884	59.81	4.29
A1	Sample 1	2	2	36	1619484	59.84	4.48
A1	Sample 1	2	2	37	1659100	59.85	4.63
A1	Sample 1	2	2	38	1698684	59.83	4.77
A1	Sample 1	2	2	39	1738284	59.84	4.91
A1	Sample 1	2	2	40	1777884	59.84	4.87
A1	Sample 1	3	1	1	1790634	59.93	5.40
A1	Sample 1	3	1	1	1791967	59.65	5.48
A1	Sample 1	3	1	1	1793284	59.68	5.56
A1	Sample 1	3	1	1	1794600	60.11	5.60
A1	Sample 1	3	1	1	1795917	60.45	5.64
A1	Sample 1	3	1	1	1797300	60.73	5.67
A1	Sample 1	3	1	1	1798617	60.95	5.74
A1	Sample 1	3	1	1	1799917	61.14	5.78
A1	Sample 1	3	1	1	1801250	61.41	5.84
A1	Sample 1	3	1	1	1802567	61.62	5.90
A1	Sample 1	3	1	1	1803884	61.84	5.97
A1	Sample 1	3	1	1	1805217	62.02	6.04
A1	Sample 1	3	1	1	1806584	62.24	6.12
A1	Sample 1	3	1	1	1807884	62.45	6.22
A1	Sample 1	3	1	1	1809200	62.64	6.32
A1	Sample 1	3	1	1	1810550	62.85	6.42
A1	Sample 1	3	1	1	1811900	63.03	6.53
